Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1064    0.001    0.000    0.004    0.000 enum.py:284(__call__)
      792    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.004    0.004 binding.py:5(<module>)
      630    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       29    0.001    0.000    0.004    0.000 __init__.py:316(namedtuple)
      693    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     2398    0.002    0.000    0.004    0.000 contextlib.py:315(__exit__)
    32726    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     2398    0.002    0.000    0.003    0.000 contextlib.py:310(__enter__)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
        1    0.000    0.000    0.003    0.003 core.py:8(<module>)
     1309    0.000    0.000    0.003    0.000 re.py:180(search)
     9202    0.002    0.000    0.003    0.000 _types.py:36(is_object)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
      399    0.001    0.000    0.003    0.000 helpers.py:108(group_by)
9362/9267    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.003    0.003 tempfile.py:24(<module>)
      633    0.001    0.000    0.003    0.000 helpers.py:50(translate)
     3208    0.003    0.000    0.003    0.000 enum.py:360(__members__)
     2359    0.002    0.000    0.003    0.000 _utils.py:84(find_additional_properties)
        1    0.000    0.000    0.003    0.003 resources.py:1(<module>)
     1202    0.002    0.000    0.003    0.000 core.py:403(done)
        1    0.000    0.000    0.003    0.003 core.py:15(<module>)
     7369    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
      299    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     4788    0.003    0.000    0.003    0.000 helpers.py:493(<listcomp>)
     1322    0.001    0.000    0.003    0.000 pathlib.py:1077(iterdir)
     3360    0.001    0.000    0.003    0.000 copy.py:273(<genexpr>)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
    10235    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
      408    0.001    0.000    0.003    0.000 typing.py:741(__getitem__)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
     3303    0.001    0.000    0.003    0.000 abc.py:137(__instancecheck__)
     1412    0.000    0.000    0.003    0.000 re.py:170(match)
      798    0.001    0.000    0.003    0.000 random.py:256(choice)
     3192    0.002    0.000    0.003    0.000 helpers.py:391(player)
        2    0.000    0.000    0.003    0.001 binding.py:136(init_static_locks)
        5    0.000    0.000    0.003    0.001 binding.py:122(_ensure_ffi_initialized)
       13    0.000    0.000    0.003    0.000 enum.py:389(_create_)
     5924    0.002    0.000    0.003    0.000 _utils.py:156(ensure_list)
      111    0.000    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.003    0.001 ocsp.py:5(<module>)
     1046    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 sjisprober.py:28(<module>)
2057/2054    0.002    0.000    0.003    0.000 typing.py:661(__hash__)
      447    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.003    0.003 context.py:1(<module>)
        1    0.000    0.000    0.003    0.003 core.py:571(__process_specification)
    33426    0.002    0.000    0.002    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
        1    0.000    0.000    0.002    0.002 binding.py:82(build_conditional_library)
        1    0.000    0.000    0.002    0.002 shutil.py:5(<module>)
       59    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      792    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
     4047    0.002    0.000    0.002    0.000 types.py:164(__get__)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
       70    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
      458    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.002    0.002 config.py:25(<module>)
