2.305076868040487
         5656548 function calls (5654242 primitive calls) in 2.465 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        5    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
       21    0.000    0.000    0.000    0.000 types.py:164(__get__)
       19    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.001    0.000 core.py:123(doc_note)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        1    0.000    0.000    0.013    0.013 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:604(PurePath)
       46    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        6    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       13    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       27    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       22    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        5    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       49    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.008    0.008 py3k.py:4(<module>)
       34    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:118(_WindowsFlavour)
